acao,preco,status,data
TAEE11F,43.89,ativo,2026-04-24 20:41:39.428606
PETR4F,47.1,ativo,2026-04-24 20:41:39.428606
ITUB4F,44.32,ativo,2026-04-24 20:41:39.428606
KLBN11F,17.87,ativo,2026-04-24 20:41:39.428606
SAPR4F,8.4,ativo,2026-04-24 20:41:39.428606
SUZB3F,45.7,ativo,2026-04-24 20:41:39.428606
ABEV3F,14.6,ativo,2026-04-24 20:41:39.428606
WEGE3F,47.77,ativo,2026-04-24 20:41:39.428606
SLCE3F,17.35,ativo,2026-04-24 20:41:39.428606
RDOR3F,38.8,ativo,2026-04-24 20:41:39.428606
B3SA3F,18.99,ativo,2026-04-24 20:41:39.428606
